time = 0.0001 dt=0.0001231514  rhoLinf = 11649.7196  
time = 0.0002 dt=0.0001202139  rhoLinf = 15144.7190  
time = 0.0004 dt=0.0001188227  rhoLinf = 14919.3940  
time = 0.0005 dt=0.0001179966  rhoLinf = 16515.8926  
time = 0.0006 dt=0.0001159770  rhoLinf = 16842.2248  
time = 0.0007 dt=0.0001133001  rhoLinf = 15839.6641  
time = 0.0008 dt=0.0001125505  rhoLinf = 15284.5649  
time = 0.0009 dt=0.0001121848  rhoLinf = 17336.3407  
time = 0.0010 dt=0.0001115620  rhoLinf = 17864.6060  
time = 0.0012 dt=0.0001088822  rhoLinf = 16835.9576  
time = 0.0013 dt=0.0001077940  rhoLinf = 16778.0252  
time = 0.0014 dt=0.0001063899  rhoLinf = 18713.5239  
time = 0.0015 dt=0.0001065741  rhoLinf = 19008.9917  
time = 0.0016 dt=0.0001054620  rhoLinf = 17630.7734  
time = 0.0017 dt=0.0001046029  rhoLinf = 17940.4635  
time = 0.0018 dt=0.0001032167  rhoLinf = 19863.9545  
time = 0.0019 dt=0.0001033233  rhoLinf = 19993.8933  
time = 0.0020 dt=0.0001027343  rhoLinf = 18323.3387  
time = 0.0021 dt=0.0001017642  rhoLinf = 18745.1061  
time = 0.0022 dt=0.0001013083  rhoLinf = 20621.7696  
time = 0.0023 dt=0.0001012583  rhoLinf = 20592.0268  
time = 0.0024 dt=0.0001000146  rhoLinf = 18575.0188  
time = 0.0025 dt=0.0000987547  rhoLinf = 19043.2125  
time = 0.0026 dt=0.0000988752  rhoLinf = 20690.5370  
time = 0.0027 dt=0.0000996846  rhoLinf = 20434.0107  
time = 0.0028 dt=0.0000975177  rhoLinf = 18232.8596  
time = 0.0029 dt=0.0000963337  rhoLinf = 18961.1790  
